Identifier,Peak_Nr,Width,Area_All,Area_44,Ampl_44,Area_45,Ampl_45,Area_46,Ampl_46,d13C,Type,Core,Real_depth_cm,Weigh_EA_mg,Amount_ug,Date,Weigh_sample_before_decarb_mg,Weigh_sample_after_decarb_mg
GluTIS,3,91.1,39.029,38.419,1242,0.448,1449,0.163,1746,-11.828,standard,,,,,20230126,,
GluTIS,4,23,77.872,76.651,3983,0.894,4645,0.327,5656,-11.827,standard,,,,,20230126,,
CR03_161,1,23.2,78.074,76.849,3986,0.898,4656,0.328,5664,-12.01,sample,CR03,161,1.293,,20230126,40,10
CR03_161,2,23.2,78.069,76.844,3975,0.898,4642,0.328,5646,-12.04,sample,CR03,161,1.293,,20230126,40,10
CR03_161,3,106.8,154.471,152.059,4875,1.767,5683,0.645,6859,-21.336,sample,CR03,161,1.293,,20230126,40,10
CR03_161,4,23,77.693,76.474,3982,0.893,4651,0.326,5657,-11.98,sample,CR03,161,1.293,,20230126,40,10
CR03_166,1,23.2,78.185,76.96,3984,0.898,4647,0.328,5655,-12.001,sample,CR03,166,1.278,,20230126,60,10
CR03_166,2,23.4,78.264,77.037,3981,0.899,4643,0.328,5653,-12.04,sample,CR03,166,1.278,,20230126,60,10
CR03_166,3,111.6,197.681,194.608,6194,2.249,7191,0.824,8708,-21.409,sample,CR03,166,1.278,,20230126,60,10
CR03_166,4,23.2,77.755,76.537,3980,0.893,4644,0.326,5653,-11.883,sample,CR03,166,1.278,,20230126,60,10
CR03_186,1,23.2,78.036,76.813,3978,0.896,4641,0.327,5648,-12.025,sample,CR03,186,1.279,,20230126,50,10
CR03_186,2,23.2,78.238,77.012,3982,0.898,4645,0.328,5654,-12.04,sample,CR03,186,1.279,,20230126,50,10
CR03_186,3,110.8,170.2,167.553,5348,1.937,6205,0.709,7515,-21.35,sample,CR03,186,1.279,,20230126,50,10
CR03_186,4,23,77.793,76.574,3977,0.893,4640,0.326,5648,-11.903,sample,CR03,186,1.279,,20230126,50,10
CR03_196,1,23.4,78.247,77.02,3977,0.899,4639,0.328,5645,-12.028,sample,CR03,196,1.301,,20230126,50,10
CR03_196,2,23,77.781,76.561,3978,0.893,4641,0.326,5649,-12.04,sample,CR03,196,1.301,,20230126,50,10
CR03_196,3,106.8,172.889,170.201,5473,1.968,6352,0.721,7691,-21.34,sample,CR03,196,1.301,,20230126,50,10
CR03_196,4,23,78.054,76.83,3988,0.896,4653,0.327,5663,-11.942,sample,CR03,196,1.301,,20230126,50,10
CR03_201,1,23.2,78.177,76.95,3989,0.899,4660,0.328,5668,-11.993,sample,CR03,201,1.369,,20230126,50,10
CR03_201,2,23.2,78.115,76.889,3985,0.898,4655,0.328,5660,-12.04,sample,CR03,201,1.369,,20230126,50,10
CR03_201,3,108.7,212.547,209.24,6665,2.422,7750,0.886,9369,-21.637,sample,CR03,201,1.369,,20230126,50,10
CR03_201,4,23.2,77.964,76.741,3983,0.897,4653,0.327,5660,-12.028,sample,CR03,201,1.369,,20230126,50,10
CR03_41,1,23.2,78.059,76.835,3980,0.896,4642,0.327,5652,-11.995,sample,CR03,41,1.298,,20230126,90,20
CR03_41,2,23.2,78.253,77.027,3980,0.899,4642,0.328,5651,-12.04,sample,CR03,41,1.298,,20230126,90,20
CR03_41,3,122.9,438.568,431.75,13384,4.995,15627,1.823,18780,-20.371,sample,CR03,41,1.298,,20230126,90,20
CR03_41,4,23,77.84,76.62,3977,0.894,4639,0.326,5647,-12.07,sample,CR03,41,1.298,,20230126,90,20
MetA,1,23.2,78.023,76.8,3974,0.896,4637,0.327,5643,-12.011,standard,,,,,20230126,,
MetA,2,23.2,77.812,76.592,3969,0.893,4629,0.326,5634,-12.04,standard,,,,,20230126,,
MetA,3,96.3,71.876,70.768,2297,0.809,2629,0.3,3226,-33.076,standard,,,,,20230126,,
MetA,4,23.2,77.858,76.637,3973,0.894,4635,0.327,5642,-11.79,standard,,,,,20230126,,
MetA,1,23.2,77.923,76.701,3973,0.895,4635,0.327,5640,-12.027,standard,,,,,20230126,,
MetA,2,23.4,78.112,76.887,3975,0.897,4638,0.328,5645,-12.04,standard,,,,,20230126,,
MetA,3,96.6,71.137,70.039,2268,0.801,2596,0.297,3188,-33.096,standard,,,,,20230126,,
MetA,4,23.2,77.633,76.416,3973,0.892,4636,0.326,5642,-11.87,standard,,,,,20230126,,
GluTIS,1,23,77.656,76.437,3971,0.893,4639,0.326,5643,-12.009,standard,,,,,20230126,,
GluTIS,2,23.2,77.847,76.626,3972,0.895,4640,0.327,5643,-12.04,standard,,,,,20230126,,
GluTIS,3,83,16.69,16.428,534,0.192,623,0.07,752,-12.635,standard,,,,,20230126,,
